MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Purno Agitok Sangma,Elected,18-May-14,04/03/2016,Ninth,Energy,Meghalaya,Tura,National Peoples Party,Male,Post Graduate,"B.A. (Hons.), M.A., LL.B. 
Educated at St. Anthony’s College, Shillong
and Dibrugarh University (Assam)",69,4,0,3,75%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),26.9,0.9,118,81%,8.4,2.1,60,82%
Pushpendra Singh Chandel,Elected,18-May-14,In office,First,Railways ,Uttar Pradesh,Hamirpur,Bharatiya Janata Party,Male,Post Graduate,"MA, LLB",43,1049,7,236,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
R. Gopalakrishnan,Elected,18-May-14,In office,First,Urban Development,Tamil Nadu,Madurai,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Com.,48,23,0,280,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
R. Parthipan,Elected,18-May-14,In office,First,Labour ,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.A. Degree,53,21,0,178,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
R. Radhakrishnan,Elected,18-May-14,In office,First,Railways ,Puducherry,Puducherry,All India N.R. Congress,Male,Professional Post Graduate,"B.Com., M.B.A.",45,8,0,11,63%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,8,0,11,63%
R. Vanaroja,Elected,18-May-14,In office,First,Information Technology,Tamil Nadu,Tiruvannamalai,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,"M.A., B.Ed.",58,43,0,266,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
R.K. Bharathi Mohan,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Diploma Course,Diploma Course,49,43,0,133,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
R.P. Marutharajaa,Elected,18-May-14,In office,First,Energy,Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.Sc.,54,14,0,139,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
Rabindra Kumar Jena,Elected,18-May-14,In office,First,Industry,Odisha,Balasore,Biju Janata Dal,Male,Professional Post Graduate,M.B.A.,49,190,9,354,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Radha Mohan Singh,Elected,18-May-14,In office,Fifth,No,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Radheshyam Biswas,Elected,18-May-14,In office,First,Water Resources ,Assam,Karimganj,All India United Democratic Front,Male,Under Graduate,Under Graduate,63,52,0,95,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Raghav Lakhanpal,Elected,18-May-14,In office,First,External Affairs,Uttar Pradesh,Saharanpur,Bharatiya Janata Party,Male,Professional Post Graduate,M.B.A.,42,38,3,241,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rahul Gandhi,Elected,18-May-14,In office,Third,External Affairs,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",46,11,0,0,54%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rahul Kaswan,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,"B.Com., PGDM",40,82,0,291,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Rahul Ramesh Shewale,Elected,18-May-14,In office,First,Urban Development,Maharashtra,Mumbai-South-Central,Shiv Sena,Male,Diploma Course,Diploma (Civil Engineering),43,141,6,578,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Raj Kumar Saini,Elected,18-May-14,In office,First,Industry,Haryana,Kurukshetra,Bharatiya Janata Party,Male,Graduate,Graduate,63,22,0,30,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43.1,2.3,170,87%
Raj Kumar Singh,Elected,18-May-14,In office,First,Health and Family Welfare,Bihar,Arrah,Bharatiya Janata Party,Male,Professional Graduate,B.A. LL.B,64,17,0,40,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Rajan Baburao Vichare,Elected,18-May-14,In office,First,Industry,Maharashtra,Thane,Shiv Sena,Male,Inter/ Higher Secondary,Inter/Higher Secondary,55,40,0,326,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Rajeev Shankarrao Satav,Elected,18-May-14,In office,First,Defence,Maharashtra,Hingoli,Indian National Congress,Male,Post Graduate,"B.Sc, M.A., LL.B",42,120,11,652,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Rajen Gohain,Elected,18-May-14,In office,Fourth,No,Assam,Nawgong,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",66,8,0,23,68%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,25,0,71,74%
Rajendra Agrawal,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",67,123,5,176,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rajesh Kumar Diwaker,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Hathras,Bharatiya Janata Party,Male,Graduate,Graduate,46,6,0,132,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rajesh Pandey Urf Guddu,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Khushi Nagar,Bharatiya Janata Party,Male,Post Diploma Course,"P.G.D.B.A. educated at Institute of Productivity and Management, Lucknow (U.P.)",57,4,2,12,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rajesh Ranjan @ Pappu Yadav,Elected,18-May-14,In office,Fifth,"Transport, Tourism and Culture",Bihar,Madhepura,Rashtriya Janata Dal,Male,Graduate,B.A.,49,161,15,219,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Rajesh Verma,Elected,18-May-14,In office,Third,Petroleum & Natural Gas,Uttar Pradesh,Sitapur,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) 
Educated at Lucknow University, Lucknow and Kanpur University, Kanpur (Uttar Pradesh)",56,13,0,166,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rajiv Pratap Rudy,Elected,18-May-14,In office,Third,No,Bihar,Saran,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",54,9,3,36,85%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,7.4,0.3,17,87%
Rajnath Singh,Elected,18-May-14,In office,Second,No,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raju Shetti,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",49,30,3,282,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Rajveer Singh (Raju Bhaiya),Elected,18-May-14,In office,First,Industry,Uttar Pradesh,Etah,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",58,14,0,20,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Rajyavardhan Singh Rathore,Elected,18-May-14,In office,First,No,Rajasthan,Jaipur Rural,Bharatiya Janata Party,Male,Graduate,B.A,47,1,0,6,94%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,8.7,0.3,22,89%
Rakesh Singh,Elected,18-May-14,In office,Third,"Coal & Steel and Transport, Tourism and Culture",Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",54,30,7,161,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Raksha Nikhil Khadase,Elected,18-May-14,In office,First,Agriculture,Maharashtra,Raver,Bharatiya Janata Party,Female,Graduate,B.Sc (Computer Science),29,34,0,290,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Ram Chandra Paswan,Elected,18-May-14,In office,Third,"Food, Consumer Affairs & Public Distribution",Bihar,Samastipur,Lok Jan Shakti Party,Male,Matric,Matriculate,55,2,0,3,78%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Ram Charitra Nishad,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter-mediate,52,21,0,369,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Ram Kripal Yadav,Elected,18-May-14,In office,Fourth,No,Bihar,Pataliputra,Bharatiya Janata Party,Male,Professional Graduate,"B.A.(Hons.), LL.B. ; Educated at Magadh University, Patna (Bihar)",59,19,0,1,91%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,7.4,0.3,17,87%
Ram Kumar Sharma,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Bihar,Sitamarhi,Rashtriya Lok Samta Party,Male,Post Graduate,M.A.,53,12,0,96,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Ram Prasad Sarmah,Elected,18-May-14,In office,First,Water Resources ,Assam,Tezpur,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",62,45,0,87,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Ram Shankar Katheria,Elected,18-May-14,In office,Second,Railways ,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",52,10,0,14,72%,"This MP was a minister between Nov 2014 to 4 Jul, 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014 and from 18th Jul, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",15.4,0.5,62,81%,25.6,0.4,42,88%
Ram Swaroop Sharma,Elected,18-May-14,In office,First,External Affairs,Himachal Pradesh,Mandi,Bharatiya Janata Party,Male,Matric,10th Class,58,18,0,32,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,0.8,122,91%
Ram Tahal Choudhary,Elected,18-May-14,In office,Fifth,Railways ,Jharkhand,Ranchi,Bharatiya Janata Party,Male,Under Matric,Matriculate,75,54,0,394,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Ram Vilas Paswan,Elected,18-May-14,In office,Ninth,No,Bihar,Hajipur,Lok Jan Shakti Party,Male,Post Graduate,"M.A., LL.B., D.Litt (Honoris Causa) conferred by Bundelkhand University, Jhansi (Madhya Pradesh) ; Educated at Kosi College, Khagaria and Patna University, Patna (Bihar)",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rama Chandra Hansdah,Elected,18-May-14,In office,First,Labour ,Odisha,Mayurbhanj,Biju Janata Dal,Male,Professional Graduate,Professional Graduate,52,3,0,13,15%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Rama Devi,Elected,18-May-14,In office,Third,Petroleum & Natural Gas,Bihar,Sheohar,Bharatiya Janata Party,Female,Professional Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",67,89,2,371,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Rama Kishore Singh,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Vaishali,Lok Jan Shakti Party,Male,Graduate,Graduate,52,13,0,150,61%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Ramachandran Mullappally,Elected,18-May-14,In office,Seventh,Human Resource Development,Kerala,Vadakara,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Government College, Madappally, Kerala University and Law College, Calicut, Kerala",72,97,10,436,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Ramcharan Bohara,Elected,18-May-14,In office,First,Urban Development,Rajasthan,Jaipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary,60,88,0,174,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Ramdas Chandrabhanji Tadas,Elected,18-May-14,In office,First,Information Technology,Maharashtra,Wardha,Bharatiya Janata Party,Male,Under Graduate,Undergraduate,63,34,0,261,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Ramen Deka,Elected,18-May-14,In office,Second,Home Affairs,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,B.A.; Educated at Pragjyotish College under Guwahati University,63,21,0,55,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Ramesh Bais,Elected,18-May-14,In office,Seventh,Social Justice & Empowerment ,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at B.S.E., Bhopal, Madhya Pradesh",69,1,0,3,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Ramesh Bidhuri,Elected,18-May-14,In office,First,Urban Development,Delhi,South Delhi,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B.",55,67,4,129,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43,6,178,93%
Ramesh Chandappa Jigajinagi,Elected,18-May-14,In office,Fifth,No,Karnataka,Bijapur,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",64,0,0,1,97%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,28.3,0.1,192,84%
