MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Pradeep Tamta,Elected,18-May-09,In office,Uttarakhand,Almora,Indian National Congress,Male,Post Graduate,"M.A, LL.B and B.Ed.; Educated at Kumaon University, Nainital, Uttarakhand",55,13,3,2,96%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,53,4.6,112,79%
Praful Manoharbhai Patel,Elected,18-May-09,In office,Maharashtra,Bhandara-Gondiya,Nationalist Congress Party,Male,Graduate,"B.Com.; Educated at University of Bombay, Mumbai, Maharashtra",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pralhad Venkatesh Joshi,Elected,18-May-09,In office,Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",51,69,0,632,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Pranab Mukherjee,Elected,18-May-09,7/25/2012,West Bengal,Jangipur,Indian National Congress,Male,Post Graduate,"M.A. (History), M.A. (Political Science), LL.B., D. Litt. (Honoris Causa); Educated at Vidyasagar College, Suri, Calcutta University, West Bengal",78,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prasanna Kumar Patasani,Elected,18-May-09,In office,Orissa,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",67,58,0,139,82%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Prasanta Kumar Majumdar,Elected,18-May-09,In office,West Bengal,Balurghat,Revolutionary Socialist Party,Male,Post Graduate,"M.A. (Economics); Educated at Guwahati University, Assam",73,138,2,468,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Prasun Banerjee,Elected,5-Aug-13,In office,West Bengal,Howrah,All India Trinamool Congress,Male,Information not available,Information not available,Information not available,0,0,0,60%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.3,0,35,76%,4.5,0,17,72%
Pratibha Singh,Elected,5-Aug-13,In office,Himachal Pradesh,Mandi,Indian National Congress,Female,Graduate,"Graduate; Educated at Government College for Women, Sector-II, Chandigarh",57,1,0,8,100%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.3,0,35,76%,11.6,0,46,92%
Pratik Prakashbapu Patil,Elected,18-May-09,In office,Maharashtra,Sangli,Indian National Congress,Male,Diploma Course,"Intermediate, Diploma in Automobile Engineering; Educated at Padmabhushan Vasant Dada Patil Institute of Technology, Budhgaon, District Sangli",40,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Praveen Singh Aron,Elected,18-May-09,In office,Uttar Pradesh,Bareilly,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Rohilkhand Vishwa Vidyalay and Rohilkhand University, Bareilly, Uttar Pradesh",54,6,0,12,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Prem Das Rai,Elected,18-May-09,In office,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",59,70,1,180,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,70,1,180,87%
Premchandra Guddu,Elected,18-May-09,In office,Madhya Pradesh,Ujjain,Indian National Congress,Male,Inter/ Higher Secondary,,53,21,0,257,79%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Premdas Katheria,Elected,18-May-09,In office,Uttar Pradesh,Etawah,Samajwadi Party,Male,Graduate,"B.Ed.; Educated at Kanpur University, Kanpur",49,54,0,156,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Preneet Kaur,Elected,18-May-09,In office,Punjab,Patiala,Indian National Congress,Female,Graduate,"B.A., T.T.C.; Educated at St. Bedes College and Convent of Jesus and Mary College, Shimla, Himachal Pradesh",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Priya Sunil Dutt,Elected,18-May-09,In office,Maharashtra,Mumbai-North-Central,Indian National Congress,Female,Post Graduate,"B.A.. (Sociology) Post-Grauduate (TV Production); Educated at Sophia College, Bombay University, Mumbai (Maharashtra) and Centre for Media Arts, New York City (U.S.A.) ",47,14,3,161,58%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Pulin Bihari Baske,Elected,18-May-09,In office,West Bengal,Jhargram,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at Kolkata Medical College, West Bengal",45,42,0,84,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Purnmasi Ram,Elected,18-May-09,In office,Bihar,Gopalganj,Janata Dal (United),Male,Matric,Educated at Hindi Vidyapeeth Deoghar,64,25,0,656,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Putul Kumari,Elected,26-Nov-10,In office,Bihar,Banka,Independent,Female,Post Graduate,"M.A. (Hindi), Educated at Patna University, Bihar",55,49,0,118,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),25.7,0.5,207,76%,30,0.4,229,87%
R. Thamaraiselvan,Elected,18-May-09,In office,Tamil Nadu,Dharmapuri,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at (i) Govt. Arts College, Dharmapuri and (ii) Govt. Law College, Trichy",50,112,3,740,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
R.K. Singh Patel,Elected,18-May-09,In office,Uttar Pradesh,Banda,Samajwadi Party,Male,Graduate,"B.A.; Educated at University of Allahabad, Uttar Pradesh",54,45,0,198,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Radha Mohan Singh,Elected,18-May-09,In office,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",64,43,0,560,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Radhe Mohan Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghazipur,Samajwadi Party,Male,Graduate,"B.A. (Hons.), History; Educated at Lalit Narayan Mithila University, Darbhanga",46,17,0,162,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Raghavendra Yeddyurappa,Elected,18-May-09,In office,Karnataka,Shimoga,Bharatiya Janata Party,Male,Graduate,"B.B.M.; Educated at A.T.N.C.C., Shivamogga, Karnataka",40,2,0,128,50%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Raghuvansh Prasad Singh,Elected,18-May-09,In office,Bihar,Vaishali,Rashtriya Janata Dal,Male,Doctorate,"M.Sc., Ph.D. (Maths); Educated at Rajendra College, L.S. College and Bihar University, Muzaffarpur (Bihar) ",67,179,5,508,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Raghuvir Singh Meena,Elected,18-May-09,In office,Rajasthan,Udaipur,Indian National Congress,Male,Graduate,"B.A.; Educated at Vardhman Mahavir Vishvavidhalaya, Rajasthan",55,12,0,125,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Rahul Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",43,2,0,0,43%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Raj Babbar,Elected,10-Nov-09,In office,Uttar Pradesh,Firozabad,Indian National Congress,Male,Graduate,"Graduate in Theatre; Educated at National School of Drama, New Delhi",61,3,0,10,72%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),34.3,0.7,285,76%,39.7,0.4,243,79%
Raj Kumari Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Aligarh,Bahujan Samaj Party,Female,Inter/ Higher Secondary,"Educated at Janta Inter College, Chlerat, Aligarh, U.P.",45,1,0,22,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Raja Ram Pal,Elected,18-May-09,In office,Uttar Pradesh,Akbarpur,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at D.A.V. College, Kanpur (Uttar Pradesh) ",53,54,0,0,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Rajagopal Lagadapati,Elected,18-May-09,2/19/2014,Andhra Pradesh,Vijayawada,Indian National Congress,Male,Graduate,"B. Tech. (Mechanical); Educated at Loyola Public School Guntur and Siddhartha Engineering College, Vijayawada",50,21,12,538,68%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.5,0.8,299,76%,20.1,0.4,338,68%
Rajaiah Siricilla,Elected,18-May-09,In office,Andhra Pradesh,Warangal,Indian National Congress,Male,Graduate,"B.Sc. (Agriculture); Educated at Acharya N.G. Ranga Agricultural University, Hyderabad, Andhra Pradesh",60,40,0,806,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Rajan Sushant,Elected,18-May-09,In office,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Doctorate,"GAMS, B.A., LL.B.; Dayanand Ayurvedic College Jalandhar (Punjab), H.P. University, Shimla and P.B. University, Chandigarh",58,70,1,54,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,86.3,0.6,337,92%
Rajen Gohain,Elected,18-May-09,In office,Assam,Nawgong,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",63,8,0,87,53%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Rajendra Agrawal,Elected,18-May-09,In office,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",64,172,2,366,99%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Rajendrasinh Ghanshyamsinh Rana (Raju Rana),Elected,18-May-09,In office,Gujarat,Bhavnagar,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Saurashtra University, Bhavnagar (Gujarat) ",57,2,0,32,79%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Rajesh Nandini Singh,Elected,18-May-09,In office,Madhya Pradesh,Shahdol,Indian National Congress,Female,Graduate,"B.Sc.; Educated from Ravi Shankar Vishwa Vidhayalaya,; Raipur, Chhattisgarh",56,1,0,1,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Rajiv Ranjan (Lalan) Singh,Elected,18-May-09,In office,Bihar,Munger,Janata Dal (United),Male,Graduate,"B.A. (Hons.); Educated at T.N.B. College, Bhagalpur University, Bihar",59,12,0,579,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Rajnath Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",62,14,0,33,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Raju Shetti,Elected,18-May-09,In office,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",46,43,1,324,74%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Rakesh Pandey,Elected,18-May-09,In office,Uttar Pradesh,Ambedkar Nagar,Bahujan Samaj Party,Male,Matric,,61,11,0,20,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Rakesh Sachan,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur,Samajwadi Party,Male,Post Graduate,"M.A. (Economics), LL.B; Educated at Kanpur University",49,50,0,34,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Rakesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",51,53,4,432,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Ram Chandra Dome,Elected,18-May-09,In office,West Bengal,Bolpur,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at N.R.S. Medical College and Hospital, Calcutta, West Bengal",55,54,0,80,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Ram Singh Kaswan,Elected,18-May-09,In office,Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Doonger College, Bikaner and Rajasthan University, Jaipur, Rajasthan",68,76,0,327,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Ram Sundar Das,Elected,18-May-09,In office,Bihar,Hajipur,Janata Dal (United),Male,Matric,"Educated at S.P.S., Sonpur, Distt. Saran, Bihar and Vidyasagar College, Calcutta (left College to join Freedoom Movement) ",93,0,0,407,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Rama Devi,Elected,18-May-09,In office,Bihar,Sheohar,Bharatiya Janata Party,Female,Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",64,84,0,627,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Ramachandran Mullappally,Elected,18-May-09,In office,Kerala,Vadakara,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Government College, Madappally, Kerala University and Law College, Calicut, Kerala",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ramakant Yadav,Elected,18-May-09,In office,Uttar Pradesh,Azamgarh,Bharatiya Janata Party,Male,Matric,"Educated at High School, Amvari, Distt. Azamgarh, Uttar Pradesh",56,0,0,0,50%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Ramashankar Rajbhar,Elected,18-May-09,In office,Uttar Pradesh,Salempur,Bahujan Samaj Party,Male,Graduate,"Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh) ",54,80,0,227,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Ramen Deka,Elected,18-May-09,In office,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,B.A.; Educated at Pragjyotish College under Guwahati University,59,62,2,178,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Ramesh Bais,Elected,18-May-09,In office,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at B.S.E., Bhopal, Madhya Pradesh",66,11,0,297,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%
Ramesh Chandappa Jigajinagi,Elected,18-May-09,In office,Karnataka,Bijapur,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",61,0,0,20,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Ramesh Kumar,Elected,18-May-09,In office,Delhi,South Delhi,Indian National Congress,Male,Matric,,58,0,0,0,100%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%
Ramesh Rathod,Elected,18-May-09,In office,Andhra Pradesh,Adilabad,Telugu Desam Party,Male,Graduate,"B.A.; Educated at Govt. Degree College, Adilabad",47,10,0,290,52%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Ramkishun,Elected,18-May-09,In office,Uttar Pradesh,Chandauli,Samajwadi Party,Male,Graduate,"B.A., B.Ed. and Post Graduate Diploma in Marketing and Finance",57,117,0,490,82%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Ramshankar,Elected,18-May-09,In office,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",49,62,1,235,73%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Ramsinhbhai Patalyabhai Rathwa,Elected,18-May-09,In office,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Male,Post Diploma Course,"S.S.C., Diploma in Painting, Post-Diploma in Graphic, short-term training course in Museology; Educated at Kawant English School, Chhota Udaipur, Faculty of Fine Arts, M.S. University, Baroda (Gujarat) and National Museum, New Delhi",62,31,0,763,74%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Ramya Divya Spandana,Elected,26-Aug-13,In office,Karnataka,Mandya,Indian National Congress,Female,Inter/ Higher Secondary,"Inter/Higher Secondary, B.Com. (1st Year) St. Joseph's College of Commerce, Banglore",31,1,0,0,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),3.5,0,23,76%,2.7,0,31,68%
Ranee Narah,Elected,18-May-09,In office,Assam,Lakhimpur,Indian National Congress,Female,Graduate,"B.A.; Educated at Gauhati University, Guwahati (Assam) ",48,3,0,7,83%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,17.1,0.5,60,80%
Ranjan Prasad Yadav,Elected,18-May-09,In office,Bihar,Pataliputra,Janata Dal (United),Male,Doctorate,"M.Sc. (Geology), Ph.D.; Educated at Science College, Patna University, Bihar",68,13,2,484,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Raosaheb Patil Danve,Elected,18-May-09,In office,Maharashtra,Jalna,Bharatiya Janata Party,Male,Under Graduate,"Educated at J.E.S., Jalna, Maharashtra",58,27,0,291,62%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
